#options: 1280x720 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=22 lookahead_threads=5 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=50 rc=abr mbtree=1 bitrate=160 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:75 out:75 type:B dur:2 cpbdur:2 q:41.42 aq:33.00 tex:5 mv:47 misc:276 imb:1 pmb:4 smb:3595 d:s ref:0 ;
in:74 out:76 type:b dur:2 cpbdur:2 q:41.50 aq:35.78 tex:9 mv:25 misc:246 imb:1 pmb:1 smb:3598 d:s ref:0 ;
in:76 out:77 type:b dur:2 cpbdur:2 q:41.34 aq:35.00 tex:0 mv:11 misc:237 imb:0 pmb:1 smb:3599 d:- ref:0 ;
in:81 out:78 type:P dur:2 cpbdur:2 q:39.96 aq:32.49 tex:788 mv:155 misc:385 imb:15 pmb:12 smb:3573 d:s ref:0 ;
in:79 out:79 type:B dur:2 cpbdur:2 q:40.61 aq:37.27 tex:131 mv:149 misc:304 imb:1 pmb:14 smb:3585 d:s ref:0 ;
in:78 out:80 type:b dur:2 cpbdur:2 q:40.94 aq:35.30 tex:35 mv:10 misc:243 imb:0 pmb:2 smb:3598 d:s ref:0 ;
in:80 out:81 type:b dur:2 cpbdur:2 q:40.29 aq:35.05 tex:55 mv:34 misc:255 imb:0 pmb:5 smb:3595 d:- ref:0 ;
in:85 out:82 type:P dur:2 cpbdur:2 q:39.00 aq:28.46 tex:1038 mv:420 misc:638 imb:42 pmb:41 smb:3517 d:s ref:0 ;
in:83 out:83 type:B dur:2 cpbdur:2 q:39.48 aq:38.61 tex:90 mv:181 misc:321 imb:0 pmb:36 smb:3564 d:s ref:0 ;
in:82 out:84 type:b dur:2 cpbdur:2 q:39.72 aq:34.65 tex:38 mv:85 misc:269 imb:0 pmb:7 smb:3593 d:s ref:0 ;
in:84 out:85 type:b dur:2 cpbdur:2 q:39.24 aq:33.00 tex:8 mv:62 misc:258 imb:0 pmb:25 smb:3575 d:- ref:0 ;
in:89 out:86 type:P dur:2 cpbdur:2 q:38.28 aq:27.23 tex:1203 mv:287 misc:630 imb:20 pmb:43 smb:3537 d:s ref:0 ;
in:87 out:87 type:B dur:2 cpbdur:2 q:38.64 aq:35.28 tex:234 mv:122 misc:332 imb:2 pmb:16 smb:3582 d:t ref:0 ;
in:86 out:88 type:b dur:2 cpbdur:2 q:38.82 aq:33.92 tex:33 mv:32 misc:247 imb:0 pmb:4 smb:3596 d:s ref:0 ;
in:88 out:89 type:b dur:2 cpbdur:2 q:38.46 aq:32.66 tex:30 mv:6 misc:236 imb:0 pmb:2 smb:3598 d:- ref:0 ;
in:93 out:90 type:P dur:2 cpbdur:2 q:42.26 aq:27.25 tex:327 mv:133 misc:308 imb:9 pmb:4 smb:3587 d:s ref:0 ;
in:91 out:91 type:B dur:2 cpbdur:2 q:40.27 aq:37.47 tex:177 mv:106 misc:301 imb:2 pmb:12 smb:3586 d:t ref:0 ;
in:90 out:92 type:b dur:2 cpbdur:2 q:39.27 aq:33.00 tex:0 mv:45 misc:243 imb:0 pmb:4 smb:3596 d:s ref:0 ;
in:92 out:93 type:b dur:2 cpbdur:2 q:41.26 aq:35.46 tex:30 mv:6 misc:236 imb:0 pmb:1 smb:3599 d:- ref:0 ;
in:97 out:94 type:P dur:2 cpbdur:2 q:41.49 aq:35.79 tex:381 mv:140 misc:327 imb:12 pmb:5 smb:3583 d:s ref:0 ;
in:95 out:95 type:B dur:2 cpbdur:2 q:41.88 aq:37.83 tex:115 mv:120 misc:317 imb:0 pmb:12 smb:3588 d:t ref:0 ;
in:94 out:96 type:b dur:2 cpbdur:2 q:42.07 aq:36.00 tex:0 mv:0 misc:224 imb:0 pmb:0 smb:3600 d:s ref:0 ;
in:96 out:97 type:b dur:2 cpbdur:2 q:41.69 aq:36.00 tex:0 mv:10 misc:238 imb:0 pmb:1 smb:3599 d:- ref:0 ;
in:101 out:98 type:P dur:2 cpbdur:2 q:40.75 aq:36.59 tex:381 mv:159 misc:364 imb:9 pmb:10 smb:3581 d:s ref:0 ;
in:99 out:99 type:B dur:2 cpbdur:2 q:41.12 aq:33.76 tex:120 mv:61 misc:299 imb:1 pmb:9 smb:3590 d:s ref:0 ;
in:98 out:100 type:b dur:2 cpbdur:2 q:41.31 aq:35.00 tex:0 mv:0 misc:224 imb:0 pmb:0 smb:3600 d:s ref:0 ;
in:100 out:101 type:b dur:2 cpbdur:2 q:40.94 aq:35.00 tex:0 mv:0 misc:224 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:105 out:102 type:P dur:2 cpbdur:2 q:40.00 aq:34.05 tex:582 mv:175 misc:339 imb:13 pmb:10 smb:3577 d:s ref:0 ;
in:103 out:103 type:B dur:2 cpbdur:2 q:40.38 aq:37.65 tex:103 mv:102 misc:299 imb:1 pmb:10 smb:3589 d:s ref:0 ;
in:102 out:104 type:b dur:2 cpbdur:2 q:40.56 aq:35.26 tex:33 mv:6 misc:233 imb:0 pmb:1 smb:3599 d:s ref:0 ;
in:104 out:105 type:b dur:2 cpbdur:2 q:40.19 aq:34.76 tex:51 mv:33 misc:252 imb:0 pmb:4 smb:3596 d:- ref:0 ;
in:109 out:106 type:P dur:2 cpbdur:2 q:39.23 aq:30.07 tex:602 mv:239 misc:391 imb:11 pmb:16 smb:3573 d:s ref:0 ;
in:107 out:107 type:B dur:2 cpbdur:2 q:39.62 aq:32.65 tex:62 mv:177 misc:305 imb:0 pmb:15 smb:3585 d:s ref:0 ;
in:106 out:108 type:b dur:2 cpbdur:2 q:39.81 aq:34.00 tex:0 mv:0 misc:224 imb:0 pmb:0 smb:3600 d:s ref:0 ;
in:108 out:109 type:b dur:2 cpbdur:2 q:39.43 aq:33.62 tex:39 mv:66 misc:255 imb:0 pmb:6 smb:3594 d:- ref:0 ;
in:113 out:110 type:P dur:2 cpbdur:2 q:38.78 aq:29.78 tex:793 mv:386 misc:485 imb:21 pmb:52 smb:3527 d:s ref:0 ;
in:111 out:111 type:B dur:2 cpbdur:2 q:39.01 aq:34.89 tex:226 mv:153 misc:333 imb:2 pmb:16 smb:3582 d:t ref:0 ;
in:110 out:112 type:b dur:2 cpbdur:2 q:39.12 aq:33.00 tex:1 mv:31 misc:224 imb:0 pmb:1 smb:3599 d:s ref:0 ;
in:112 out:113 type:b dur:2 cpbdur:2 q:38.89 aq:33.60 tex:22 mv:28 misc:238 imb:1 pmb:1 smb:3598 d:- ref:0 ;
in:117 out:114 type:P dur:2 cpbdur:2 q:38.16 aq:27.79 tex:1464 mv:341 misc:635 imb:17 pmb:50 smb:3533 d:s ref:0 ;
in:115 out:115 type:B dur:2 cpbdur:2 q:38.47 aq:35.44 tex:159 mv:146 misc:295 imb:1 pmb:14 smb:3585 d:s ref:0 ;
in:114 out:116 type:b dur:2 cpbdur:2 q:38.62 aq:33.66 tex:75 mv:47 misc:254 imb:0 pmb:5 smb:3595 d:s ref:0 ;
in:116 out:117 type:b dur:2 cpbdur:2 q:38.32 aq:32.38 tex:32 mv:31 misc:241 imb:0 pmb:3 smb:3597 d:- ref:0 ;
in:121 out:118 type:P dur:2 cpbdur:2 q:37.60 aq:25.63 tex:3777 mv:556 misc:1019 imb:23 pmb:130 smb:3447 d:s ref:0 ;
in:119 out:119 type:B dur:2 cpbdur:2 q:37.88 aq:37.29 tex:136 mv:218 misc:342 imb:1 pmb:20 smb:3579 d:t ref:0 ;
in:118 out:120 type:b dur:2 cpbdur:2 q:38.02 aq:32.00 tex:3 mv:76 misc:257 imb:1 pmb:7 smb:3592 d:s ref:0 ;
in:120 out:121 type:b dur:2 cpbdur:2 q:37.74 aq:32.44 tex:33 mv:70 misc:265 imb:0 pmb:7 smb:3593 d:- ref:0 ;
in:125 out:122 type:P dur:2 cpbdur:2 q:37.04 aq:25.84 tex:5336 mv:663 misc:1289 imb:16 pmb:209 smb:3375 d:s ref:0 ;
in:123 out:123 type:B dur:2 cpbdur:2 q:37.32 aq:33.70 tex:204 mv:201 misc:331 imb:1 pmb:19 smb:3580 d:t ref:0 ;
in:122 out:124 type:b dur:2 cpbdur:2 q:37.46 aq:31.00 tex:2 mv:88 misc:262 imb:0 pmb:8 smb:3592 d:t ref:0 ;
in:124 out:125 type:b dur:2 cpbdur:2 q:37.18 aq:31.66 tex:74 mv:33 misc:269 imb:0 pmb:6 smb:3594 d:- ref:0 ;
in:129 out:126 type:P dur:2 cpbdur:2 q:36.48 aq:24.72 tex:9979 mv:819 misc:1714 imb:24 pmb:332 smb:3244 d:s ref:0 ;
in:127 out:127 type:B dur:2 cpbdur:2 q:36.76 aq:33.86 tex:175 mv:225 misc:344 imb:2 pmb:19 smb:3579 d:t ref:0 ;
in:126 out:128 type:b dur:2 cpbdur:2 q:36.90 aq:31.65 tex:58 mv:27 misc:243 imb:0 pmb:4 smb:3596 d:s ref:0 ;
in:128 out:129 type:b dur:2 cpbdur:2 q:36.62 aq:31.48 tex:57 mv:96 misc:263 imb:0 pmb:8 smb:3592 d:- ref:0 ;
in:133 out:130 type:P dur:2 cpbdur:2 q:35.87 aq:24.02 tex:19635 mv:1299 misc:2218 imb:48 pmb:547 smb:3005 d:s ref:0 ;
in:131 out:131 type:B dur:2 cpbdur:2 q:36.18 aq:33.85 tex:274 mv:272 misc:334 imb:4 pmb:24 smb:3572 d:t ref:0 ;
in:130 out:132 type:b dur:2 cpbdur:2 q:36.33 aq:30.79 tex:67 mv:71 misc:262 imb:0 pmb:6 smb:3594 d:s ref:0 ;
in:132 out:133 type:b dur:2 cpbdur:2 q:36.02 aq:30.00 tex:6 mv:109 misc:277 imb:0 pmb:8 smb:3592 d:- ref:0 ;
in:137 out:134 type:P dur:2 cpbdur:2 q:35.52 aq:25.24 tex:12427 mv:726 misc:1759 imb:18 pmb:345 smb:3237 d:s ref:0 ;
in:135 out:135 type:B dur:2 cpbdur:2 q:35.69 aq:33.13 tex:136 mv:243 misc:325 imb:0 pmb:18 smb:3582 d:t ref:0 ;
in:134 out:136 type:b dur:2 cpbdur:2 q:35.78 aq:30.14 tex:60 mv:93 misc:271 imb:0 pmb:8 smb:3592 d:t ref:0 ;
in:136 out:137 type:b dur:2 cpbdur:2 q:35.60 aq:30.00 tex:1 mv:106 misc:269 imb:0 pmb:7 smb:3593 d:- ref:0 ;
